Reporting week,0-4 years,5-9 years,10-14 years,15-17 years,<18 years,18-24 years,25-49 years,50-59 years,60+ years
2020-W53,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%
2021-W01,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%
2021-W02,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%
2021-W03,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.10%,0.10%,0.00%
2021-W04,0.00%,0.00%,0.00%,-,0.00%,0.30%,1.70%,1.90%,0.70%
2021-W05,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,2.80%,3.50%,2.10%
2021-W06,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,3.00%,3.70%,2.20%
2021-W07,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,3.90%,5.00%,4.10%
2021-W08,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,4.10%,5.30%,4.50%
2021-W09,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,4.40%,5.60%,4.70%
2021-W10,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,4.60%,5.90%,5.30%
2021-W11,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,4.70%,6.10%,7.00%
2021-W12,0.00%,0.00%,0.00%,0.00%,0.00%,1.10%,4.80%,6.20%,11.30%
2021-W13,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,4.90%,6.30%,16.30%
2021-W14,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,4.90%,6.40%,20.50%
2021-W15,0.00%,0.00%,0.00%,0.00%,0.00%,1.20%,5.00%,6.40%,24.70%
2021-W16,0.00%,0.00%,0.00%,0.00%,0.00%,1.30%,5.10%,6.60%,29.60%
2021-W17,0.00%,0.00%,0.00%,0.00%,0.00%,1.30%,5.20%,6.70%,34.60%
2021-W18,0.00%,0.00%,0.00%,0.00%,0.00%,1.40%,5.30%,6.90%,40.10%
2021-W19,0.00%,0.00%,0.00%,0.00%,0.00%,1.70%,5.60%,7.70%,49.80%
2021-W20,0.00%,0.00%,0.00%,0.00%,0.00%,2.10%,6.50%,16.00%,56.00%
2021-W21,0.00%,0.00%,0.00%,0.00%,0.00%,3.40%,9.60%,24.90%,59.00%
2021-W22,0.00%,0.00%,0.00%,0.10%,0.00%,4.80%,12.40%,32.20%,61.20%
2021-W23,0.00%,0.00%,0.00%,0.10%,0.00%,5.90%,14.50%,42.90%,64.80%
2021-W24,0.00%,0.00%,0.00%,0.20%,0.00%,7.80%,18.20%,64.50%,71.60%
2021-W25,0.00%,0.00%,0.00%,0.20%,0.00%,9.80%,22.00%,81.30%,81.20%
2021-W26,0.00%,0.00%,0.00%,0.30%,0.10%,11.30%,27.30%,89.40%,91.20%
2021-W27,0.00%,0.00%,0.10%,0.60%,0.10%,15.40%,35.70%,92.90%,100.00%
2021-W28,0.00%,0.00%,0.10%,0.70%,0.10%,21.40%,44.50%,95.10%,100.00%
2021-W29,0.00%,0.00%,0.10%,0.80%,0.20%,27.10%,51.60%,95.90%,100.00%
2021-W30,0.00%,0.00%,0.10%,1.00%,0.20%,30.80%,59.20%,96.40%,100.00%
2021-W31,0.00%,0.00%,0.10%,1.10%,0.20%,33.40%,66.20%,97.00%,100.00%
2021-W32,0.00%,0.00%,0.10%,1.30%,0.20%,37.70%,74.10%,97.40%,100.00%
2021-W33,0.00%,0.00%,0.10%,2.40%,0.40%,50.80%,78.80%,97.80%,100.00%
2021-W34,0.00%,0.00%,0.10%,7.30%,1.20%,64.30%,81.30%,98.10%,100.00%
2021-W35,0.00%,0.00%,1.50%,17.70%,3.30%,72.00%,82.90%,98.40%,100.00%
2021-W36,0.00%,0.00%,6.40%,38.20%,8.10%,75.00%,83.80%,98.60%,100.00%
2021-W37,0.00%,0.00%,12.20%,53.50%,12.30%,77.40%,84.60%,98.80%,100.00%
2021-W38,0.00%,0.00%,15.70%,62.80%,14.90%,79.00%,85.20%,98.90%,100.00%
2021-W39,0.00%,0.00%,17.20%,66.90%,16.00%,80.30%,85.70%,99.00%,100.00%
2021-W40,0.00%,0.00%,18.10%,69.30%,16.70%,81.00%,86.10%,99.10%,100.00%
2021-W41,0.00%,0.00%,18.80%,71.00%,17.20%,81.60%,86.40%,99.20%,100.00%
2021-W42,0.00%,0.00%,19.30%,72.30%,17.50%,82.30%,86.70%,99.30%,100.00%
2021-W43,0.00%,0.00%,19.80%,73.20%,17.80%,82.70%,86.90%,99.30%,100.00%
2021-W44,0.00%,0.00%,20.10%,73.90%,18.00%,83.00%,87.10%,99.40%,100.00%
2021-W45,0.00%,0.00%,20.40%,74.50%,18.20%,83.30%,87.30%,99.50%,100.00%
2021-W46,0.00%,0.00%,21.00%,75.50%,18.50%,83.90%,87.60%,99.60%,100.00%
2021-W47,0.00%,0.00%,21.50%,76.30%,18.80%,84.30%,87.90%,99.60%,100.00%
2021-W48,0.00%,0.00%,21.90%,77.00%,19.10%,84.80%,88.20%,99.70%,100.00%
2021-W49,0.00%,0.00%,22.30%,77.60%,19.30%,85.10%,88.40%,99.80%,100.00%
2021-W50,0.00%,0.00%,22.80%,78.20%,19.50%,85.50%,88.60%,99.90%,100.00%
2021-W51,0.00%,0.00%,23.10%,78.60%,19.70%,85.70%,88.80%,99.90%,100.00%
2021-W52,0.00%,0.00%,23.50%,79.00%,19.90%,86.00%,88.90%,100.00%,100.00%
2022-W01,0.00%,0.00%,23.90%,79.50%,20.10%,86.20%,89.00%,100.00%,100.00%
2022-W02,0.00%,0.00%,24.30%,79.90%,20.30%,86.50%,89.20%,100.00%,100.00%
2022-W03,0.00%,0.10%,24.60%,80.20%,20.40%,86.70%,89.30%,100.00%,100.00%
2022-W04,0.00%,1.90%,27.40%,80.40%,21.80%,86.80%,89.40%,100.00%,100.00%
2022-W05,0.00%,5.00%,32.10%,80.70%,24.10%,86.90%,89.40%,100.00%,100.00%
2022-W06,0.00%,7.70%,35.10%,80.90%,25.80%,87.10%,89.50%,100.00%,100.00%
2022-W07,0.00%,9.40%,37.20%,81.00%,27.00%,87.10%,89.50%,100.00%,100.00%
2022-W08,0.00%,10.50%,38.50%,81.20%,27.70%,87.20%,89.60%,100.00%,100.00%
2022-W09,0.00%,11.70%,40.00%,81.30%,28.50%,87.30%,89.60%,100.00%,100.00%
2022-W10,0.00%,12.50%,41.00%,81.40%,29.00%,87.30%,89.60%,100.00%,100.00%
2022-W11,0.00%,13.20%,41.80%,81.40%,29.50%,87.30%,89.60%,100.00%,100.00%
2022-W12,0.00%,13.90%,42.50%,81.50%,29.90%,87.40%,89.70%,100.00%,100.00%
2022-W13,0.00%,14.30%,43.00%,81.60%,30.20%,87.40%,89.70%,100.00%,100.00%
2022-W14,0.00%,14.60%,43.40%,81.60%,30.40%,87.40%,89.70%,100.00%,100.00%
2022-W15,0.00%,14.80%,43.70%,81.70%,30.50%,87.50%,89.70%,100.00%,100.00%
2022-W16,0.00%,15.10%,44.00%,81.70%,30.70%,87.50%,89.70%,100.00%,100.00%
2022-W17,0.00%,15.40%,44.30%,81.70%,30.90%,87.50%,89.70%,100.00%,100.00%
2022-W18,0.00%,15.60%,44.60%,81.80%,31.00%,87.50%,89.70%,100.00%,100.00%
2022-W19,0.00%,15.70%,44.80%,81.80%,31.20%,87.60%,89.80%,100.00%,100.00%
2022-W20,0.00%,15.90%,45.00%,81.90%,31.30%,87.60%,89.80%,100.00%,100.00%
2022-W21,0.00%,16.00%,45.20%,81.90%,31.40%,87.60%,89.80%,100.00%,100.00%
2022-W22,0.00%,16.10%,45.40%,82.00%,31.50%,87.60%,89.80%,100.00%,100.00%
2022-W23,0.00%,16.20%,45.60%,82.00%,31.50%,87.70%,89.80%,100.00%,100.00%
2022-W24,0.00%,16.30%,45.70%,82.00%,31.60%,87.70%,89.80%,100.00%,100.00%
2022-W25,0.00%,16.40%,45.80%,82.10%,31.70%,87.70%,89.80%,100.00%,100.00%
2022-W26,0.00%,16.40%,45.90%,82.10%,31.70%,87.70%,89.80%,100.00%,100.00%
2022-W27,0.00%,16.50%,46.00%,82.10%,31.80%,87.70%,89.80%,100.00%,100.00%
2022-W28,0.00%,16.50%,46.10%,82.10%,31.80%,87.70%,89.80%,100.00%,100.00%
2022-W29,0.00%,16.60%,46.20%,82.10%,31.80%,87.80%,89.80%,100.00%,100.00%
2022-W30,0.00%,16.60%,46.20%,82.20%,31.90%,87.80%,89.80%,100.00%,100.00%
2022-W31,0.00%,16.70%,46.30%,82.20%,31.90%,87.80%,89.90%,100.00%,100.00%
2022-W32,0.00%,16.70%,46.30%,82.20%,31.90%,87.80%,89.90%,100.00%,100.00%
2022-W33,0.00%,16.70%,46.30%,82.20%,31.90%,87.80%,89.90%,100.00%,100.00%
2022-W34,0.00%,16.80%,46.40%,82.20%,32.00%,87.80%,89.90%,100.00%,100.00%
2022-W35,0.00%,16.80%,46.40%,82.20%,32.00%,87.80%,89.90%,100.00%,100.00%
2022-W36,0.00%,16.80%,46.40%,82.20%,32.00%,87.80%,89.90%,100.00%,100.00%
2022-W37,0.00%,16.90%,46.40%,82.20%,32.00%,87.80%,89.90%,100.00%,100.00%
2022-W38,0.00%,16.90%,46.50%,82.20%,32.00%,87.80%,89.90%,100.00%,100.00%
2022-W39,0.00%,16.90%,46.50%,82.20%,32.10%,87.80%,89.90%,100.00%,100.00%
2022-W40,0.00%,16.90%,46.50%,82.20%,32.10%,87.80%,89.90%,100.00%,100.00%
2022-W41,0.00%,17.00%,46.50%,82.20%,32.10%,87.90%,89.90%,100.00%,100.00%
2022-W42,0.00%,17.00%,46.50%,82.20%,32.10%,87.90%,89.90%,100.00%,100.00%
2022-W43,0.00%,17.00%,46.50%,82.20%,32.10%,87.90%,89.90%,100.00%,100.00%
2022-W44,0.00%,17.00%,46.60%,82.20%,32.10%,87.90%,89.90%,100.00%,100.00%
2022-W45,0.00%,17.00%,46.60%,82.20%,32.10%,87.90%,89.90%,100.00%,100.00%
2022-W46,0.00%,17.10%,46.60%,82.20%,32.10%,87.90%,89.90%,100.00%,100.00%
2022-W47,0.00%,17.10%,46.60%,82.20%,32.10%,87.90%,89.90%,100.00%,100.00%
2022-W48,0.00%,17.10%,46.60%,82.30%,32.10%,87.90%,89.90%,100.00%,100.00%
2022-W49,0.00%,17.10%,46.60%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2022-W50,0.00%,17.10%,46.60%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2022-W51,0.00%,17.10%,46.60%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2022-W52,0.00%,17.10%,46.60%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W01,0.00%,17.10%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W02,0.00%,17.20%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W03,0.00%,17.20%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W04,0.00%,17.20%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W05,0.00%,17.20%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W06,0.00%,17.20%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W07,0.00%,17.20%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W08,0.00%,17.20%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W09,0.00%,17.20%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W10,0.00%,17.30%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W11,0.00%,17.30%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W12,0.00%,17.30%,46.70%,82.30%,32.20%,87.90%,89.90%,100.00%,100.00%
2023-W13,0.10%,17.30%,46.70%,82.30%,32.20%,87.90%,90.00%,100.00%,100.00%
2023-W14,0.10%,17.30%,46.70%,82.30%,32.30%,87.90%,90.00%,100.00%,100.00%
2023-W15,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W16,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W17,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W18,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W19,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W20,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W21,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W22,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W23,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W24,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W25,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W26,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W27,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W28,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W29,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W30,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W31,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W32,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W33,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W34,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W35,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W36,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W37,0.10%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W38,0.20%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
2023-W39,0.20%,17.30%,46.70%,82.30%,32.30%,88.00%,90.00%,100.00%,100.00%
